ID_Cliente,Edad,Categoria,Precio,Calificacion,Texto_Resena,Fecha_Compra,Recomendado,Departamento,Tipo_Envio
1064,69.0,Pantalones,141.01,4,"Superó mis expectativas, volveré a comprar.",2023-01-04,1,Ropa Hombre,Express
1065,33.0,Pantalones,132.07,4,El color es vibrante y el diseño hermoso.,2023-06-01,1,Ropa Mujer,Express
1066,29.0,Pantalones,101.84,4,"Totalmente recomendado, me queda perfecto.",2023-04-11,1,Deportes,Express
1067,29.0,Vestidos,144.76,5,El color es vibrante y el diseño hermoso.,2023-10-12,1,Ropa Mujer,Express
1068,30.0,Chaquetas,65.93,1,"No se parece a la foto, muy decepcionado.",2023-02-04,0,Deportes,Estándar
1069,40.0,Blusas,58.06,5,Excelente calidad y envío rápido.,2023-04-25,1,Ropa Hombre,Estándar
1070,58.0,Chaquetas,109.06,4,"Superó mis expectativas, volveré a comprar.",2023-08-05,1,Ropa Hombre,Express
1071,38.0,Accesorios,88.98,4,"Totalmente recomendado, me queda perfecto.",2023-06-26,1,Ropa Mujer,Express
1072,52.0,Chaquetas,48.75,4,Muy cómodo y elegante para la oficina.,2023-08-12,1,Ropa Hombre,Estándar
1073,54.0,Chaquetas,106.78,5,"Totalmente recomendado, me queda perfecto.",2023-12-27,1,Ropa Mujer,Express
1074,47.0,Blusas,83.21,5,Muy cómodo y elegante para la oficina.,2023-07-06,1,Ropa Mujer,Express
1075,36.0,Blusas,16.46,5,El color es vibrante y el diseño hermoso.,2023-09-22,1,Niños,Estándar
1076,24.0,Chaquetas,106.36,4,Excelente calidad y envío rápido.,2023-05-24,1,Ropa Hombre,Express
1077,22.0,Vestidos,59.37,4,El color es vibrante y el diseño hermoso.,2023-02-22,1,Niños,Estándar
1078,40.0,Blusas,27.31,4,Muy cómodo y elegante para la oficina.,2023-08-11,1,Deportes,Estándar
1079,22.0,Vestidos,88.7,5,El color es vibrante y el diseño hermoso.,2023-01-09,1,Deportes,Express
1080,27.0,Pantalones,132.03,5,Muy cómodo y elegante para la oficina.,2023-05-21,1,Niños,Express
1081,57.0,Pantalones,125.95,5,"Superó mis expectativas, volveré a comprar.",2023-01-29,1,Ropa Mujer,Express
1082,54.0,Vestidos,65.53,3,"Llegó a tiempo, calidad aceptable.",2023-11-23,0,Niños,Estándar
1083,42.0,Accesorios,62.28,5,"Totalmente recomendado, me queda perfecto.",2023-12-30,1,Niños,Estándar
1084,56.0,Vestidos,137.36,2,El envío tardó demasiado y llegó dañado.,2023-06-22,0,Ropa Hombre,Express
1085,30.0,Pantalones,92.15,5,"Superó mis expectativas, volveré a comprar.",2023-12-27,1,Niños,Express
1086,56.0,Blusas,93.75,5,El color es vibrante y el diseño hermoso.,2023-11-08,1,Deportes,Express
1087,50.0,Accesorios,123.28,5,"Superó mis expectativas, volveré a comprar.",2023-11-13,1,Ropa Hombre,Express
1088,64.0,Accesorios,86.24,5,"Superó mis expectativas, volveré a comprar.",2023-06-13,1,Niños,Express
1089,52.0,Vestidos,25.18,2,"La tela es muy mala, se rompió enseguida.",2023-01-14,0,Niños,Estándar
1090,32.0,Blusas,109.08,3,"Producto promedio, cumple su función.",2023-01-12,0,Ropa Mujer,Express
1091,27.0,Chaquetas,98.72,3,"Llegó a tiempo, calidad aceptable.",2023-03-31,1,Niños,Express
1092,25.0,Pantalones,93.79,1,"La tela es muy mala, se rompió enseguida.",2023-08-16,0,Niños,Express
1093,44.0,Blusas,56.79,5,El color es vibrante y el diseño hermoso.,2023-08-28,1,Ropa Mujer,Estándar
1094,46.0,Accesorios,25.29,5,"Totalmente recomendado, me queda perfecto.",2023-09-13,1,Ropa Hombre,Estándar
1095,22.0,Blusas,26.17,5,"Totalmente recomendado, me queda perfecto.",2023-12-31,1,Ropa Hombre,Estándar
1096,22.0,Blusas,124.42,5,"Me encanta este producto, la tela es suave.",2023-09-24,1,Ropa Hombre,Express
1097,38.0,Pantalones,68.05,5,"Me encanta este producto, la tela es suave.",2023-04-08,1,Deportes,Estándar
1098,58.0,Vestidos,51.91,1,"No lo recomiendo, muy caro para lo que es.",2023-07-16,0,Deportes,Estándar
1099,48.0,Accesorios,138.28,4,"Superó mis expectativas, volveré a comprar.",2023-06-14,1,Ropa Hombre,Express
1100,,Pantalones,48.39,4,,2023-01-01,1,Deportes,Estándar
1101,68.0,Accesorios,42.98,5,Excelente calidad y envío rápido.,2023-12-14,1,Ropa Mujer,Estándar
1102,48.0,Pantalones,85.24,5,"Totalmente recomendado, me queda perfecto.",2023-11-02,1,Ropa Hombre,Express
1103,29.0,Blusas,145.68,1,El envío tardó demasiado y llegó dañado.,2023-11-09,0,Ropa Hombre,Express
1104,34.0,Accesorios,101.31,5,Muy cómodo y elegante para la oficina.,2023-07-11,1,Ropa Mujer,Express
1105,51.0,Pantalones,100.95,4,"Totalmente recomendado, me queda perfecto.",2023-11-04,1,Ropa Hombre,Express
1106,55.0,Blusas,137.91,3,La talla es correcta pero el color varía.,2023-03-22,0,Niños,Express
1107,22.0,Accesorios,77.01,5,"Me encanta este producto, la tela es suave.",2023-12-06,1,Niños,Estándar
1108,41.0,Accesorios,98.81,3,La talla es correcta pero el color varía.,2023-02-12,0,Ropa Hombre,Express
1109,65.0,Vestidos,87.53,4,"Totalmente recomendado, me queda perfecto.",2023-01-08,1,Deportes,Express
1110,21.0,Chaquetas,70.57,5,"Totalmente recomendado, me queda perfecto.",2023-04-03,1,Niños,Estándar
1111,49.0,Pantalones,40.96,1,"Mala calidad, costuras sueltas.",2023-04-02,0,Ropa Mujer,Estándar
1112,59.0,Accesorios,26.97,2,"La tela es muy mala, se rompió enseguida.",2023-01-12,0,Ropa Hombre,Estándar
1113,43.0,Pantalones,82.96,4,"Me encanta este producto, la tela es suave.",2023-10-09,1,Ropa Mujer,Express
1114,64.0,Blusas,26.04,5,"Superó mis expectativas, volveré a comprar.",2023-12-03,1,Ropa Hombre,Estándar
1115,43.0,Chaquetas,26.41,4,El color es vibrante y el diseño hermoso.,2023-07-26,1,Ropa Mujer,Estándar
1116,64.0,Pantalones,64.8,4,"Superó mis expectativas, volveré a comprar.",2023-06-03,1,Niños,Estándar
1117,31.0,Vestidos,32.97,4,Muy cómodo y elegante para la oficina.,2023-12-29,1,Niños,Estándar
1118,64.0,Chaquetas,132.07,3,"Producto promedio, cumple su función.",2023-07-11,0,Ropa Mujer,Express
1119,42.0,Accesorios,17.71,3,"Producto promedio, cumple su función.",2023-05-06,1,Niños,Estándar
1120,61.0,Blusas,61.3,4,Excelente calidad y envío rápido.,2023-03-08,1,Ropa Mujer,Estándar
1121,58.0,Accesorios,26.73,4,Excelente calidad y envío rápido.,2023-04-21,1,Ropa Hombre,Estándar
1122,25.0,Blusas,32.22,3,La talla es correcta pero el color varía.,2023-10-09,1,Niños,Estándar
1123,51.0,Vestidos,82.26,3,"Está bien, pero esperaba algo mejor.",2023-05-30,0,Niños,Express
1124,38.0,Chaquetas,40.19,3,"Producto promedio, cumple su función.",2023-11-07,1,Ropa Hombre,Estándar
1125,26.0,Vestidos,17.46,4,Muy cómodo y elegante para la oficina.,2023-11-18,1,Deportes,Estándar
1126,37.0,Chaquetas,131.84,5,"Me encanta este producto, la tela es suave.",2023-04-04,1,Deportes,Express
1127,55.0,Vestidos,140.47,4,Excelente calidad y envío rápido.,2023-06-22,1,Ropa Hombre,Express
1128,61.0,Accesorios,145.68,5,El color es vibrante y el diseño hermoso.,2023-08-13,1,Ropa Hombre,Express
1129,37.0,Blusas,30.5,4,Muy cómodo y elegante para la oficina.,2023-10-20,1,Niños,Estándar
1130,28.0,Chaquetas,86.9,1,"No se parece a la foto, muy decepcionado.",2023-01-10,0,Ropa Mujer,Express
1131,22.0,Pantalones,42.23,4,El color es vibrante y el diseño hermoso.,2023-11-17,1,Niños,Estándar
1132,54.0,Blusas,30.75,4,Muy cómodo y elegante para la oficina.,2023-04-04,1,Ropa Mujer,Estándar
1133,48.0,Blusas,127.13,5,Muy cómodo y elegante para la oficina.,2023-05-17,1,Ropa Mujer,Express
1134,51.0,Chaquetas,23.98,5,Muy cómodo y elegante para la oficina.,2023-03-01,1,Deportes,Estándar
1135,46.0,Vestidos,116.32,5,"Totalmente recomendado, me queda perfecto.",2023-08-01,1,Ropa Mujer,Express
1136,54.0,Accesorios,104.8,4,El color es vibrante y el diseño hermoso.,2023-03-30,1,Deportes,Express
1137,62.0,Pantalones,107.2,4,Muy cómodo y elegante para la oficina.,2023-10-15,1,Ropa Mujer,Express
1138,68.0,Accesorios,87.87,4,"Me encanta este producto, la tela es suave.",2023-06-02,1,Ropa Hombre,Express
1139,34.0,Blusas,66.83,4,"Totalmente recomendado, me queda perfecto.",2023-02-08,1,Deportes,Estándar
1140,68.0,Vestidos,113.62,4,El color es vibrante y el diseño hermoso.,2023-01-15,1,Deportes,Express
1141,64.0,Accesorios,87.02,5,El color es vibrante y el diseño hermoso.,2023-06-06,1,Ropa Mujer,Express
1142,55.0,Blusas,110.44,5,"Me encanta este producto, la tela es suave.",2023-09-11,1,Ropa Mujer,Express
1143,21.0,Pantalones,81.69,5,Muy cómodo y elegante para la oficina.,2023-10-21,1,Ropa Hombre,Express
1144,30.0,Chaquetas,32.21,3,"Está bien, pero esperaba algo mejor.",2023-09-18,1,Ropa Mujer,Estándar
1145,46.0,Chaquetas,119.2,1,El envío tardó demasiado y llegó dañado.,2023-08-31,0,Niños,Express
1146,53.0,Chaquetas,48.99,3,"Producto promedio, cumple su función.",2023-11-26,1,Ropa Hombre,Estándar
1147,57.0,Pantalones,98.02,5,Muy cómodo y elegante para la oficina.,2023-07-29,1,Ropa Hombre,Express
1148,42.0,Blusas,113.02,4,El color es vibrante y el diseño hermoso.,2023-12-22,1,Deportes,Express
1149,65.0,Chaquetas,139.54,5,Excelente calidad y envío rápido.,2023-04-02,1,Ropa Mujer,Express
1150,48.0,Pantalones,72.26,5,,2023-08-02,1,Ropa Mujer,Estándar
1151,28.0,Blusas,46.85,2,"Talla incorrecta, es demasiado pequeño.",2023-07-01,0,Ropa Hombre,Estándar
1152,40.0,Blusas,132.44,4,"Superó mis expectativas, volveré a comprar.",2023-11-05,1,Ropa Mujer,Express
1153,26.0,Pantalones,121.35,4,"Totalmente recomendado, me queda perfecto.",2023-03-04,1,Niños,Express
1154,69.0,Blusas,139.18,3,La talla es correcta pero el color varía.,2023-12-13,0,Ropa Hombre,Express
1155,34.0,Vestidos,76.08,2,"La tela es muy mala, se rompió enseguida.",2023-06-29,0,Deportes,Estándar
1156,23.0,Accesorios,57.05,5,"Totalmente recomendado, me queda perfecto.",2023-05-30,1,Niños,Estándar
1157,43.0,Chaquetas,104.58,2,"Talla incorrecta, es demasiado pequeño.",2023-12-27,0,Ropa Hombre,Express
1158,66.0,Chaquetas,131.19,4,"Me encanta este producto, la tela es suave.",2023-11-23,1,Ropa Hombre,Express
1159,18.0,Accesorios,116.24,3,"Producto promedio, cumple su función.",2023-02-01,1,Ropa Hombre,Express
1160,47.0,Accesorios,19.93,4,"Totalmente recomendado, me queda perfecto.",2023-01-18,1,Ropa Mujer,Estándar
1161,18.0,Vestidos,86.23,4,"Me encanta este producto, la tela es suave.",2023-04-24,1,Deportes,Express
1162,47.0,Vestidos,28.9,3,"Producto promedio, cumple su función.",2023-05-11,0,Deportes,Estándar
1163,49.0,Pantalones,136.15,4,"Me encanta este producto, la tela es suave.",2023-03-28,1,Ropa Hombre,Express
1164,45.0,Pantalones,103.95,1,El envío tardó demasiado y llegó dañado.,2023-09-12,0,Deportes,Express
1165,25.0,Blusas,91.87,5,El color es vibrante y el diseño hermoso.,2023-09-21,1,Deportes,Express
1166,51.0,Vestidos,148.48,4,Muy cómodo y elegante para la oficina.,2023-06-14,1,Niños,Express
1167,38.0,Pantalones,100.49,5,"Superó mis expectativas, volveré a comprar.",2023-05-27,1,Deportes,Express
1168,65.0,Accesorios,93.71,4,Excelente calidad y envío rápido.,2023-10-30,1,Deportes,Express
1169,22.0,Chaquetas,50.02,3,"Producto promedio, cumple su función.",2023-01-20,0,Deportes,Estándar
1170,22.0,Accesorios,119.47,3,"Está bien, pero esperaba algo mejor.",2023-12-21,1,Ropa Hombre,Express
1171,69.0,Pantalones,120.27,2,"No lo recomiendo, muy caro para lo que es.",2023-04-30,0,Ropa Hombre,Express
1172,63.0,Blusas,18.03,3,"Llegó a tiempo, calidad aceptable.",2023-08-25,1,Ropa Hombre,Estándar
1173,42.0,Blusas,102.08,4,Excelente calidad y envío rápido.,2023-01-29,1,Ropa Hombre,Express
1174,62.0,Pantalones,107.23,5,"Superó mis expectativas, volveré a comprar.",2023-02-11,1,Deportes,Express
1175,53.0,Blusas,24.07,4,Muy cómodo y elegante para la oficina.,2023-03-17,1,Ropa Hombre,Estándar
1176,40.0,Accesorios,33.9,3,"Producto promedio, cumple su función.",2023-08-07,1,Ropa Hombre,Estándar
1177,57.0,Pantalones,100.47,4,Excelente calidad y envío rápido.,2023-06-22,1,Niños,Express
1178,34.0,Pantalones,66.72,4,Excelente calidad y envío rápido.,2023-11-06,1,Ropa Mujer,Estándar
1179,60.0,Blusas,27.2,5,"Superó mis expectativas, volveré a comprar.",2023-05-29,1,Deportes,Estándar
1180,28.0,Vestidos,138.59,5,"Totalmente recomendado, me queda perfecto.",2023-11-06,1,Niños,Express
1181,51.0,Accesorios,44.02,1,"Talla incorrecta, es demasiado pequeño.",2023-08-15,0,Niños,Estándar
1182,69.0,Vestidos,82.01,4,Excelente calidad y envío rápido.,2023-07-20,1,Ropa Mujer,Express
1183,43.0,Pantalones,61.49,3,"Está bien, pero esperaba algo mejor.",2023-03-02,0,Ropa Mujer,Estándar
1184,60.0,Pantalones,48.26,5,"Superó mis expectativas, volveré a comprar.",2023-04-18,1,Ropa Mujer,Estándar
1185,61.0,Vestidos,15.71,2,"Mala calidad, costuras sueltas.",2023-02-13,0,Ropa Hombre,Estándar
1186,66.0,Accesorios,143.28,4,El color es vibrante y el diseño hermoso.,2023-11-14,1,Ropa Mujer,Express
1187,33.0,Vestidos,101.26,5,"Superó mis expectativas, volveré a comprar.",2023-07-17,1,Niños,Express
1188,25.0,Blusas,81.07,3,La talla es correcta pero el color varía.,2023-12-31,0,Ropa Hombre,Express
1189,43.0,Pantalones,139.91,2,"Mala calidad, costuras sueltas.",2023-03-27,0,Niños,Express
1190,24.0,Accesorios,55.14,5,Excelente calidad y envío rápido.,2023-11-11,1,Deportes,Estándar
1191,40.0,Accesorios,115.58,1,El envío tardó demasiado y llegó dañado.,2023-04-13,0,Ropa Hombre,Express
1192,34.0,Vestidos,31.28,1,"Mala calidad, costuras sueltas.",2023-06-20,0,Niños,Estándar
1193,57.0,Pantalones,69.61,4,"Me encanta este producto, la tela es suave.",2023-01-04,1,Deportes,Estándar
1194,46.0,Blusas,99.5,5,Excelente calidad y envío rápido.,2023-04-18,1,Ropa Mujer,Express
1195,19.0,Vestidos,148.7,1,"Mala calidad, costuras sueltas.",2023-05-21,0,Ropa Hombre,Express
1196,35.0,Vestidos,149.72,3,La talla es correcta pero el color varía.,2023-11-14,0,Deportes,Express
1197,61.0,Blusas,132.95,5,Excelente calidad y envío rápido.,2023-12-25,1,Niños,Express
1198,37.0,Accesorios,47.23,2,"No lo recomiendo, muy caro para lo que es.",2023-06-07,0,Ropa Mujer,Estándar
1199,67.0,Chaquetas,46.54,1,"La tela es muy mala, se rompió enseguida.",2023-03-14,0,Ropa Hombre,Estándar
1200,,Blusas,106.75,3,,2023-03-02,0,Ropa Mujer,Express
1201,54.0,Vestidos,71.37,5,Muy cómodo y elegante para la oficina.,2023-12-10,1,Niños,Estándar
1202,28.0,Accesorios,37.55,5,"Totalmente recomendado, me queda perfecto.",2023-03-13,1,Ropa Hombre,Estándar
1203,37.0,Accesorios,46.13,5,Muy cómodo y elegante para la oficina.,2023-11-26,1,Deportes,Estándar
1204,60.0,Pantalones,44.77,2,El envío tardó demasiado y llegó dañado.,2023-09-19,0,Ropa Mujer,Estándar
1205,22.0,Accesorios,145.83,5,"Totalmente recomendado, me queda perfecto.",2023-01-20,1,Ropa Hombre,Express
1206,66.0,Accesorios,68.49,5,Muy cómodo y elegante para la oficina.,2023-05-25,1,Deportes,Estándar
1207,41.0,Vestidos,77.56,4,"Superó mis expectativas, volveré a comprar.",2023-03-30,1,Niños,Estándar
1208,26.0,Chaquetas,131.12,4,"Totalmente recomendado, me queda perfecto.",2023-05-03,1,Ropa Hombre,Express
1209,45.0,Accesorios,20.99,5,Excelente calidad y envío rápido.,2023-01-09,1,Ropa Mujer,Estándar
1210,32.0,Blusas,114.25,3,"Llegó a tiempo, calidad aceptable.",2023-02-07,0,Ropa Mujer,Express
1211,25.0,Vestidos,21.59,4,"Superó mis expectativas, volveré a comprar.",2023-11-12,1,Ropa Mujer,Estándar
1212,65.0,Accesorios,25.28,5,"Superó mis expectativas, volveré a comprar.",2023-08-12,1,Niños,Estándar
1213,46.0,Vestidos,92.13,4,"Totalmente recomendado, me queda perfecto.",2023-08-25,1,Ropa Hombre,Express
1214,50.0,Vestidos,103.89,5,"Totalmente recomendado, me queda perfecto.",2023-10-31,1,Niños,Express
1215,58.0,Accesorios,47.22,5,El color es vibrante y el diseño hermoso.,2023-07-10,1,Deportes,Estándar
1216,44.0,Chaquetas,134.02,5,"Me encanta este producto, la tela es suave.",2023-01-31,1,Deportes,Express
1217,40.0,Pantalones,125.69,3,"Producto promedio, cumple su función.",2023-03-23,0,Ropa Hombre,Express
1218,53.0,Pantalones,117.15,3,La talla es correcta pero el color varía.,2023-01-13,1,Ropa Hombre,Express
1219,63.0,Vestidos,90.58,2,"No se parece a la foto, muy decepcionado.",2023-07-07,0,Ropa Mujer,Express
1220,41.0,Accesorios,32.34,3,"Producto promedio, cumple su función.",2023-08-21,1,Deportes,Estándar
1221,49.0,Pantalones,67.94,2,"Mala calidad, costuras sueltas.",2023-10-05,0,Deportes,Estándar
1222,21.0,Chaquetas,119.07,5,"Me encanta este producto, la tela es suave.",2023-01-12,1,Niños,Express
1223,39.0,Blusas,78.93,1,El envío tardó demasiado y llegó dañado.,2023-07-29,0,Ropa Hombre,Estándar
1224,67.0,Accesorios,116.2,2,"Mala calidad, costuras sueltas.",2023-01-07,0,Niños,Express
1225,46.0,Vestidos,58.69,4,"Totalmente recomendado, me queda perfecto.",2023-02-27,1,Ropa Mujer,Estándar
1226,40.0,Pantalones,51.94,5,"Me encanta este producto, la tela es suave.",2023-04-09,1,Ropa Hombre,Estándar
1227,30.0,Blusas,86.15,5,"Totalmente recomendado, me queda perfecto.",2023-10-15,1,Deportes,Express
1228,19.0,Chaquetas,32.73,5,Muy cómodo y elegante para la oficina.,2023-08-24,1,Ropa Hombre,Estándar
1229,45.0,Accesorios,137.79,5,El color es vibrante y el diseño hermoso.,2023-09-19,1,Ropa Mujer,Express
1230,36.0,Blusas,147.84,4,El color es vibrante y el diseño hermoso.,2023-01-15,1,Ropa Mujer,Express
1231,51.0,Accesorios,19.2,4,El color es vibrante y el diseño hermoso.,2023-10-01,1,Deportes,Estándar
1232,32.0,Chaquetas,88.34,2,"La tela es muy mala, se rompió enseguida.",2023-05-25,0,Niños,Express
1233,46.0,Accesorios,119.07,5,El color es vibrante y el diseño hermoso.,2023-07-18,1,Niños,Express
1234,20.0,Accesorios,54.71,5,Excelente calidad y envío rápido.,2023-02-15,1,Niños,Estándar
1235,32.0,Blusas,30.84,2,"Talla incorrecta, es demasiado pequeño.",2023-12-06,0,Ropa Hombre,Estándar
1236,53.0,Blusas,45.45,2,"No lo recomiendo, muy caro para lo que es.",2023-04-27,0,Ropa Hombre,Estándar
1237,19.0,Vestidos,76.45,1,"No se parece a la foto, muy decepcionado.",2023-11-16,0,Niños,Estándar
1238,35.0,Vestidos,117.2,5,"Me encanta este producto, la tela es suave.",2023-09-24,1,Ropa Mujer,Express
1239,39.0,Vestidos,34.7,2,"No lo recomiendo, muy caro para lo que es.",2023-06-09,0,Niños,Estándar
1240,32.0,Chaquetas,61.71,5,Excelente calidad y envío rápido.,2023-12-19,1,Niños,Estándar
1241,19.0,Blusas,134.14,1,"Mala calidad, costuras sueltas.",2023-04-26,0,Ropa Mujer,Express
1242,43.0,Pantalones,91.62,4,Excelente calidad y envío rápido.,2023-05-23,1,Ropa Hombre,Express
1243,51.0,Pantalones,105.5,5,"Superó mis expectativas, volveré a comprar.",2023-05-03,1,Deportes,Express
1244,23.0,Blusas,98.24,4,"Me encanta este producto, la tela es suave.",2023-07-23,1,Ropa Hombre,Express
1245,25.0,Pantalones,123.23,3,"Producto promedio, cumple su función.",2023-01-07,0,Niños,Express
